Label,Location,Latitude,Longitude
Altglas Container #174,Thüringer Straße / Altenburger Weg,49.51571335459894,8.545108315729706
Altglas Container #175,Thüringer Straße / Eisenacher Weg,49.51543313947397,8.539225958541138
Altglas Container #176,Geraer Ring 2,49.51083494080096,8.537515164275874
Altglas Container #177,Pommernstraße / Haltestelle,49.50709474712138,8.531760035318106
Altglas Container #178,Vogelstang Gartenanlage / Unter dem Elkersberg,49.50523762230077,8.533816158326564
Altglas Container #179,Pommernstraße / Stralsunder Weg,49.50483071458514,8.535750872036667
Altglas Container #180,Dresdner Straße / Naumburger Weg,49.50866006028205,8.547031315033724
Altglas Container #181,Wiesbadener Straße / Darmstadter Straße,49.52439747063205,8.493659099988866
Altglas Container #182,Neues Leben / Bunker,49.51891502263338,8.502093547709782
Altglas Container #183,Obere Riedstraße / Neues Leben,49.51492212323071,8.499470603892586
Altglas Container #184,Mudauer Ring / Feuerwehr,49.498172340495664,8.540695679040214
Altglas Container #185,Merowinger Straße 7-11,49.49808764385113,8.556526039946752
Altglas Container #186,Dudenstraße / Joseph-Meyer-Straße,49.49991405715392,8.50169663767915
Altglas Container #187,Zellerstraße / Nebeniusstraße,49.49838410973568,8.491130638800465
Altglas Container #188,Ludolf-Krehl-Straße / Parkplatz Friedhof,49.49535501901659,8.494123642813284
Altglas Container #189,Rottfeldstraße / Lassallestraße,49.45989115685344,8.486719767200974
Altglas Container #190,Max-Joseph-Straße / Neuer Meßplatz,49.50445657075253,8.476522851183336
Altglas Container #191,P 7 / Fressgasse,49.48512577596524,8.4741750329642
Altglas Container #192,August-Bebel-Staße / Bunker,49.46449886110398,8.482332482167818
Altglas Container #193,Feldbergstraße 69,49.45941071250538,8.47545060698288
Altglas Container #194,Lauffener Straße / Neckarstraße,49.48095062543196,8.531516937484323
Altglas Container #195,Max-Hachenburg-Straße - Wendehammer,49.48716819101694,8.546563572230177
Altglas Container #196,Körnerstraße / Görresstraße,49.48779553137063,8.519751779135781
Altglas Container #197,Hauptstrasse 79 / Supermarkt,49.48674235523141,8.527661087959196
Altglas Container #198,Altkircher Straße / Spielplatz,49.43621834499639,8.578646586887194
Altglas Container #199,Neudorfstraße / Bürkleplatz,49.4392043698223,8.576647819765396
Altglas Container #200,Zaberner Straße / Lauterburgerstraße,49.44195371880809,8.575363050738408
Altglas Container #201,Kirchwaldstraße / Kettelerweg,49.53610021301973,8.4876111257107
Altglas Container #202,Am Herrschaftswald / Karlsternstraße,49.53514679553791,8.506123156536402
Altglas Container #203,Lampertheimer Straße / Morgenröte,49.5214124215268,8.512877339562241
Altglas Container #204,Waldstraße / Anemonenweg,49.524206323573296,8.501142238448399
Altglas Container #205,Baldurstraße / Carl-Benz-Bad,49.52696767646026,8.50566454077504
Altglas Container #206,Langer Schlag / Kasseler Straße,49.530344524909566,8.499947537186594
Altglas Container #207,Rottannenweg,49.53277990590164,8.506831482494883
Altglas Container #208,Rohrlachstraße / Wendehammer,49.45689255190791,8.535759794969522
Altglas Container #209,Friesenheimer Straße / Kammerschleuse,49.50782174960863,8.448078415588121
Altglas Container #210,D 6 / Zeughausplanken,49.48871141994299,8.461319049862404
Altglas Container #211,M 5 / M 6,49.48429110492802,8.468713679898462
Altglas Container #212,H 6 / Swanseaplatz,49.49174457033252,8.463590894560767
Altglas Container #213,I 7 / Luisenring,49.49370582576008,8.462811398634475
Altglas Container #214,L 1 / Kiosk,49.48426678529757,8.464079345852552
Altglas Container #215,Dornheimer Ring 75,49.517712250421056,8.512149926027833
Altglas Container #216,Wormser Straße / Lemaitrestraße,49.5146729169829,8.514735267224536
Altglas Container #217,Malzstraße 11,49.51359436138476,8.519532562054144
Altglas Container #218,Völklinger Straße / Weinheimer Straße,49.50739355228969,8.516876345730832
Altglas Container #219,Mannheimer Straße  / Deidesheimer Straße,49.50682564675474,8.510340924167322
Altglas Container #220,Ida-Dehmel-Ring / Mary-Wigman-Straße,49.50354301844288,8.529511572147886
Altglas Container #221,Schwarzwaldstraße / Waldparkdamm,49.46816765594648,8.46692657550113
Altglas Container #222,Gontardstraße / Bellenstraße,49.47623310563129,8.469953758101664
Altglas Container #223,Spiegelfabrik / Parkplatz,49.52070909469878,8.478422218581716
Altglas Container #224,Sandhofer Straße / Mauerstraße,49.518966067154295,8.473536454240485
Altglas Container #225,Angelstraße / GKM,49.44614402788276,8.49638543241458
Altglas Container #226,Rheingoldstraße /Stollenwörthweiher,49.45033388452151,8.469940097017982
Altglas Container #227,Dreesbachplatz / Germaniastraße,49.457427238587066,8.48486815682398
Altglas Container #228,Voltastraße 19-21,49.46324087124688,8.495097536567972
Altglas Container #229,Alberichstraße / Tannhäuserring / Parkplatz,49.454963535833,8.473160856223068
Altglas Container #230,Grenadierstraße,49.500540645150245,8.489939676195235
Altglas Container #231,Schafweide / Carl-Benz-Schule,49.49546667834116,8.476934882946388
Altglas Container #232,Kobellstraße / Käfertaler Straße,49.494970898024455,8.480170121185607
Altglas Container #233,Carl-Zuckmayer-Straße,49.50941314716493,8.476557851212545
Altglas Container #234,Zum Herrenried / Wendehammer,49.509906884678365,8.48407921586408
Altglas Container #235,Lange Rötterstraße 51 / Moselstraße,49.497361409797065,8.48394976971454
Altglas Container #236,Lange Rötterstraße 31,49.49796281364596,8.479063774322245
Altglas Container #237,Feudenheimer Straße 2,49.48986845901247,8.490946349130157
Altglas Container #238,Untermühlaustraße / Pyramidenstraße,49.506507467007545,8.464040103448506
Altglas Container #239,Kleestraße / Rainweidenstraße,49.504569923498686,8.464445480039467
Altglas Container #240,Itzsteinstraße / Ackerstraße,49.50236306145352,8.460928318585788
Altglas Container #241,Dammstraße / Draisstraße,49.4991969481205,8.461795778117628
Altglas Container #242,Pumpwerkstraße / Fröhlichstraße,49.50423715128059,8.467154206439396
Altglas Container #243,Zeppelinstraße / Erlenstraße,49.50557102435869,8.468723794535078
Altglas Container #244,Dammstraße / Diesterwegstraße,49.49809260234449,8.464574564407377
Altglas Container #245,Paul-Martin-Ufer / Dürerstraße,49.478473884298985,8.520683607054805
Altglas Container #246,Böcklinstraße / Holbeinstraße,49.47947369105099,8.51202117803408
Altglas Container #247,Paul-Martin-Ufer / Karl-Ladenburg-Straße,49.48235845915278,8.508321257492666
